post_id,service_cible,texte_clean,langue,canal,region,sentiment_score,sentiment_label,categorie,date_post
POST_d4e2503bfc,WAVE,wave rapide meilleur service mobile money sénégal,FR,TWITTER,ZIGUINCHOR,0.635,POSITIF,POSITIF,2026-05-01
POST_570f627977,TER,ter pratique rapide entre dakar top,FR,FACEBOOK,KAOLACK,0.743,POSITIF,POSITIF,2026-05-17
POST_e24b0dd053,ORANGE_MONEY,remboursement orange money jamais reçu après semaines,FR,RECLAMATION,DAKAR,-0.551,NEGATIF_FORT,AUTRE,2026-05-10
POST_5a16677907,FREE_MONEY,free money lent par rapport améliorer,FR,FACEBOOK,SAINT_LOUIS,-0.462,NEGATIF,TECHNIQUE,2026-05-25
POST_ea38a924b3,SEN_EAU,sen eau service client attente interminable,FR,WHATSAPP,KAOLACK,-0.065,NEGATIF,SERVICE_CLIENT,2026-05-20
POST_6ec56a7967,TER,ter pratique rapide entre dakar top,FR,TWITTER,DAKAR,0.706,POSITIF,POSITIF,2026-05-15
POST_53268dbb81,ORANGE_MONEY,orange money fraud lost money this morning,EN,TWITTER,KAOLACK,-1.0,NEGATIF_FORT,FRAUDE,2026-05-11
POST_200565f1f0,SENELEC,coupure senelec depuis quand que revient,FR,TWITTER,ZIGUINCHOR,0.092,NEUTRE,AUTRE,2026-05-23
POST_e649120abe,SEN_EAU,est revenue après sen eau enfin réactif,FR,WHATSAPP,DAKAR,-0.071,NEGATIF,AUTRE,2026-05-26
POST_0aa0cc25e0,TER,application ter bug impossible ticket,FR,TWITTER,SAINT_LOUIS,-0.6,NEGATIF_FORT,TECHNIQUE,2026-05-16
POST_5cac43935a,WAVE,transaction wave argent débité sans confirmation,FR,TWITTER,DAKAR,0.089,NEUTRE,AUTRE,2026-05-05
POST_43983ecb73,ORANGE_MONEY,orange money cher dafa neka,WO,WHATSAPP,DAKAR,-0.736,NEGATIF_FORT,TARIF,2026-05-10
POST_18280bc456,FREE_MONEY,free money dafa baax mais support dafa teye,WO,FACEBOOK,DAKAR,-0.095,NEGATIF,TECHNIQUE,2026-05-30
POST_be8a779d3e,SENELEC,coupure électrique pendant senelec scandaleux,FR,WHATSAPP,THIES,-0.888,NEGATIF_FORT,AUTRE,2026-05-19
POST_f48f62a426,ORANGE_MONEY,orange money fraud lost money this morning,EN,RECLAMATION,ZIGUINCHOR,-0.967,NEGATIF_FORT,FRAUDE,2026-05-14
POST_d2b7046a41,SEN_EAU,sen eau pression faible depuis une scandaleux,FR,WHATSAPP,SAINT_LOUIS,-0.758,NEGATIF_FORT,AUTRE,2026-05-17
POST_9c21cd345e,FREE_MONEY,free money lent par rapport améliorer,FR,RECLAMATION,ZIGUINCHOR,-0.571,NEGATIF_FORT,TECHNIQUE,2026-05-07
POST_1b42af4e96,SEN_EAU,sen eau pression faible depuis une scandaleux,FR,WHATSAPP,ZIGUINCHOR,-0.867,NEGATIF_FORT,AUTRE,2026-05-19
POST_3787cb90a5,FREE_MONEY,free money dafa baax mais support dafa teye,WO,TWITTER,THIES,-0.031,NEGATIF,TECHNIQUE,2026-05-04
POST_963b82033f,TER,ter retard encore infos temps réel impossible,FR,WHATSAPP,DAKAR,-0.709,NEGATIF_FORT,AUTRE,2026-05-24
POST_2f5eca4b5c,TER,application ter bug impossible ticket,FR,WHATSAPP,ZIGUINCHOR,-0.553,NEGATIF_FORT,TECHNIQUE,2026-05-05
POST_9cc4eedc5e,SENELEC,application senelec bien paiement facile maintenant,FR,WHATSAPP,KAOLACK,0.733,POSITIF,POSITIF,2026-05-09
POST_ac0432d9b4,TER,application ter bug impossible ticket,FR,RECLAMATION,DAKAR,-0.613,NEGATIF_FORT,TECHNIQUE,2026-05-24
POST_df7d6e8565,ORANGE_MONEY,orange money fraud lost money this morning,EN,FACEBOOK,DAKAR,-0.927,NEGATIF_FORT,FRAUDE,2026-05-25
POST_fdee3083eb,TER,application ter bug impossible ticket,FR,TWITTER,THIES,-0.707,NEGATIF_FORT,TECHNIQUE,2026-05-10
POST_7d29446cc8,ORANGE_MONEY,orange money fraud lost money this morning,EN,RECLAMATION,SAINT_LOUIS,-0.857,NEGATIF_FORT,FRAUDE,2026-05-30
POST_f0fa166e95,SEN_EAU,sen eau problem dafa neka,WO,WHATSAPP,DAKAR,-0.793,NEGATIF_FORT,AUTRE,2026-05-17
POST_f1b0309353,WAVE,wave remboursé top,FR,FACEBOOK,ZIGUINCHOR,0.777,POSITIF,POSITIF,2026-05-11
POST_95a88ce767,FREE_MONEY,free money problem duma gënn,WO,RECLAMATION,ZIGUINCHOR,-0.675,NEGATIF_FORT,AUTRE,2026-05-11
POST_d48764c72d,ORANGE_MONEY,service orange money efficace pour les paiements factures,FR,RECLAMATION,SAINT_LOUIS,0.745,POSITIF,POSITIF,2026-05-29
POST_3072baa1c4,WAVE,wave excellent recommande tous,FR,FACEBOOK,THIES,0.125,NEUTRE,TECHNIQUE,2026-05-19
POST_47e78c0941,ORANGE_MONEY,orange money fraud lost money this morning,EN,FACEBOOK,ZIGUINCHOR,-0.97,NEGATIF_FORT,FRAUDE,2026-05-02
POST_d1e722643c,SEN_EAU,est revenue après sen eau enfin réactif,FR,TWITTER,DAKAR,-0.032,NEGATIF,AUTRE,2026-05-22
POST_2a4995749f,ORANGE_MONEY,les frais cachés orange,FR,FACEBOOK,KAOLACK,-0.851,NEGATIF_FORT,TARIF,2026-05-11
POST_2830d8fa29,ORANGE_MONEY,les frais cachés orange,FR,TWITTER,ZIGUINCHOR,-0.923,NEGATIF_FORT,TARIF,2026-05-05
POST_6fe435708b,SEN_EAU,pas depuis jours sen eau répond pas,FR,WHATSAPP,ZIGUINCHOR,0.045,NEUTRE,AUTRE,2026-05-01
POST_323d2b3a3f,ORANGE_MONEY,orange money cher dafa neka,WO,TWITTER,THIES,-0.699,NEGATIF_FORT,TARIF,2026-05-08
POST_50c55bd832,ORANGE_MONEY,orange money cher dafa neka,WO,FACEBOOK,SAINT_LOUIS,-0.684,NEGATIF_FORT,TARIF,2026-05-27
POST_4353833880,SENELEC,senelec problem dafa metti,WO,FACEBOOK,SAINT_LOUIS,-0.6,NEGATIF_FORT,AUTRE,2026-05-16
POST_fdfae3224e,SEN_EAU,facture sen eau anormalement élevée,FR,FACEBOOK,THIES,-0.065,NEGATIF,AUTRE,2026-05-13
POST_41fed0d362,TER,ter pratique rapide entre dakar top,FR,RECLAMATION,ZIGUINCHOR,0.81,POSITIF,POSITIF,2026-05-05
POST_9694b2092c,SEN_EAU,est revenue après sen eau enfin réactif,FR,WHATSAPP,SAINT_LOUIS,0.083,NEUTRE,AUTRE,2026-05-06
POST_5acdf4c585,WAVE,wave remboursé top,FR,RECLAMATION,THIES,0.737,POSITIF,POSITIF,2026-05-03
POST_c12d8991e1,SEN_EAU,sen eau pression faible depuis une scandaleux,FR,WHATSAPP,KAOLACK,-0.765,NEGATIF_FORT,AUTRE,2026-05-09
POST_f3aed6bb90,SEN_EAU,est revenue après sen eau enfin réactif,FR,FACEBOOK,ZIGUINCHOR,-0.007,NEGATIF,AUTRE,2026-05-10
POST_9c5b24a049,ORANGE_MONEY,orange money encore panne inacceptable,FR,FACEBOOK,THIES,-0.752,NEGATIF_FORT,TECHNIQUE,2026-05-28
POST_eae7eefc28,FREE_MONEY,free money dafa baax mais support dafa teye,WO,RECLAMATION,DAKAR,0.084,NEUTRE,TECHNIQUE,2026-05-16
POST_936069bcd9,FREE_MONEY,free money nouveau encore beaucoup bugs,FR,RECLAMATION,SAINT_LOUIS,-0.533,NEGATIF_FORT,TECHNIQUE,2026-05-18
POST_2aaa6f4d52,SENELEC,senelec dafa xam dina tax,WO,FACEBOOK,ZIGUINCHOR,-0.809,NEGATIF_FORT,TECHNIQUE,2026-05-23
POST_3f94c7e59e,FREE_MONEY,compte free money bloqué sans explication support,FR,WHATSAPP,SAINT_LOUIS,-0.612,NEGATIF_FORT,TECHNIQUE,2026-05-03
POST_006e7cc2df,FREE_MONEY,free money lent par rapport améliorer,FR,FACEBOOK,THIES,-0.451,NEGATIF,TECHNIQUE,2026-05-28
POST_e84bd4e3ad,SEN_EAU,facture sen eau anormalement élevée,FR,FACEBOOK,ZIGUINCHOR,-0.072,NEGATIF,AUTRE,2026-05-11
POST_fcd43faf44,SEN_EAU,sen eau service client attente interminable,FR,RECLAMATION,THIES,0.087,NEUTRE,SERVICE_CLIENT,2026-05-14
POST_fe13ee3a09,FREE_MONEY,free money gratuit pour les transferts entre abonnés free,FR,WHATSAPP,KAOLACK,0.751,POSITIF,POSITIF,2026-05-25
POST_0a446ec27d,SEN_EAU,sen eau problem dafa neka,WO,TWITTER,DAKAR,-0.75,NEGATIF_FORT,AUTRE,2026-05-28
POST_f65a6832c3,ORANGE_MONEY,orange money compte bloqué sans scandaleux,FR,RECLAMATION,KAOLACK,-0.871,NEGATIF_FORT,TECHNIQUE,2026-05-09
POST_0e525b0293,SENELEC,senelec dafa xam dina tax,WO,FACEBOOK,KAOLACK,-0.873,NEGATIF_FORT,TECHNIQUE,2026-05-10
POST_c0470df811,SENELEC,coupure senelec depuis quand que revient,FR,WHATSAPP,SAINT_LOUIS,0.053,NEUTRE,AUTRE,2026-05-01
POST_30fcf8aa16,ORANGE_MONEY,orange money cher dafa neka,WO,TWITTER,DAKAR,-0.743,NEGATIF_FORT,TARIF,2026-05-23
POST_2e2f6c3707,FREE_MONEY,free money simple pratique pour les petites sommes,FR,RECLAMATION,DAKAR,0.684,POSITIF,POSITIF,2026-05-04
POST_15b1a6ba71,ORANGE_MONEY,orange money dafa problem nekkul,WO,RECLAMATION,DAKAR,-0.791,NEGATIF_FORT,TECHNIQUE,2026-05-01
POST_47dc541a64,FREE_MONEY,free money problem duma gënn,WO,RECLAMATION,ZIGUINCHOR,-0.665,NEGATIF_FORT,AUTRE,2026-05-18
POST_2b824b7f92,WAVE,encore une fois wave inadmissible,FR,FACEBOOK,KAOLACK,-0.81,NEGATIF_FORT,TECHNIQUE,2026-05-26
POST_abd6844225,SEN_EAU,pas depuis jours sen eau répond pas,FR,WHATSAPP,THIES,0.006,NEUTRE,AUTRE,2026-05-20
POST_7506b4b48d,WAVE,encore une fois wave inadmissible,FR,RECLAMATION,KAOLACK,-0.79,NEGATIF_FORT,TECHNIQUE,2026-05-26
POST_96c00b6af1,ORANGE_MONEY,service orange money efficace pour les paiements factures,FR,FACEBOOK,SAINT_LOUIS,0.673,POSITIF,POSITIF,2026-05-17
POST_df808d0c16,SEN_EAU,est revenue après sen eau enfin réactif,FR,RECLAMATION,KAOLACK,0.076,NEUTRE,AUTRE,2026-05-01
POST_cbce3ea703,ORANGE_MONEY,orange money encore panne inacceptable,FR,WHATSAPP,ZIGUINCHOR,-0.846,NEGATIF_FORT,TECHNIQUE,2026-05-19
POST_f381cdc7e7,WAVE,wave dafa dafa yomb,WO,WHATSAPP,ZIGUINCHOR,0.802,POSITIF,POSITIF,2026-05-03
POST_c345be5fa2,ORANGE_MONEY,les frais cachés orange,FR,WHATSAPP,KAOLACK,-0.88,NEGATIF_FORT,TARIF,2026-05-29
POST_2232f3397e,FREE_MONEY,free money problem duma gënn,WO,WHATSAPP,ZIGUINCHOR,-0.652,NEGATIF_FORT,AUTRE,2026-05-23
POST_9ac626e70f,WAVE,encore une fois wave inadmissible,FR,RECLAMATION,DAKAR,-0.74,NEGATIF_FORT,TECHNIQUE,2026-05-20
POST_f7e79af595,TER,ter pratique rapide entre dakar top,FR,TWITTER,SAINT_LOUIS,0.836,POSITIF,POSITIF,2026-05-04
POST_b8578da883,TER,application ter bug impossible ticket,FR,WHATSAPP,KAOLACK,-0.6,NEGATIF_FORT,TECHNIQUE,2026-05-22
POST_359b9b16c1,ORANGE_MONEY,orange money cher dafa neka,WO,RECLAMATION,DAKAR,-0.671,NEGATIF_FORT,TARIF,2026-05-04
POST_7506a75b55,WAVE,wave excellent recommande tous,FR,FACEBOOK,SAINT_LOUIS,0.264,NEUTRE,TECHNIQUE,2026-05-15
POST_3f1128e116,ORANGE_MONEY,remboursement orange money jamais reçu après semaines,FR,RECLAMATION,SAINT_LOUIS,-0.5,NEGATIF_FORT,AUTRE,2026-05-12
POST_c4db70c6e5,SEN_EAU,facture sen eau anormalement élevée,FR,WHATSAPP,KAOLACK,-0.07,NEGATIF,AUTRE,2026-05-22
POST_cba8bb9baa,WAVE,wave remboursé top,FR,WHATSAPP,ZIGUINCHOR,0.867,POSITIF,POSITIF,2026-05-10
POST_6914e13aaf,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,RECLAMATION,ZIGUINCHOR,-0.583,NEGATIF_FORT,SERVICE_CLIENT,2026-05-22
POST_b619e2247e,SEN_EAU,pas depuis jours sen eau répond pas,FR,RECLAMATION,DAKAR,-0.039,NEGATIF,AUTRE,2026-05-25
POST_ca68ff6a30,WAVE,transaction wave argent débité sans confirmation,FR,TWITTER,SAINT_LOUIS,-0.039,NEGATIF,AUTRE,2026-05-03
POST_bdaca5815a,SENELEC,coupure senelec depuis quand que revient,FR,RECLAMATION,DAKAR,0.021,NEUTRE,AUTRE,2026-05-19
POST_6ccd821531,TER,ter dafa rafet,WO,WHATSAPP,KAOLACK,0.936,POSITIF,POSITIF,2026-05-16
POST_f1d176d154,WAVE,wave rapide meilleur service mobile money sénégal,FR,WHATSAPP,DAKAR,0.656,POSITIF,POSITIF,2026-05-25
POST_cd682e5b6d,ORANGE_MONEY,les frais cachés orange,FR,WHATSAPP,THIES,-0.9,NEGATIF_FORT,TARIF,2026-05-30
POST_a20fd9ae29,SEN_EAU,est revenue après sen eau enfin réactif,FR,WHATSAPP,DAKAR,0.013,NEUTRE,AUTRE,2026-05-19
POST_1aaf82fb90,SENELEC,application senelec bien paiement facile maintenant,FR,RECLAMATION,KAOLACK,0.606,POSITIF,POSITIF,2026-05-19
POST_928fe68f68,ORANGE_MONEY,orange money encore panne inacceptable,FR,WHATSAPP,DAKAR,-0.916,NEGATIF_FORT,TECHNIQUE,2026-05-22
POST_86ae1cfa22,TER,ter dafa rafet,WO,WHATSAPP,SAINT_LOUIS,0.877,POSITIF,POSITIF,2026-05-29
POST_9e256ee22a,WAVE,frais wave trop cher orange money moins cher,FR,WHATSAPP,ZIGUINCHOR,-0.789,NEGATIF_FORT,TARIF,2026-05-08
POST_606d8a017c,ORANGE_MONEY,service orange money efficace pour les paiements factures,FR,FACEBOOK,ZIGUINCHOR,0.651,POSITIF,POSITIF,2026-05-04
POST_bc719aedc5,WAVE,wave excellent recommande tous,FR,RECLAMATION,DAKAR,0.207,NEUTRE,TECHNIQUE,2026-05-08
POST_c029bed65b,SEN_EAU,est revenue après sen eau enfin réactif,FR,RECLAMATION,DAKAR,-0.029,NEGATIF,AUTRE,2026-05-01
POST_614678a147,ORANGE_MONEY,remboursement orange money jamais reçu après semaines,FR,TWITTER,DAKAR,-0.634,NEGATIF_FORT,AUTRE,2026-05-15
POST_721778a477,TER,ter bondé aux heures prévoir extension nécessaire,FR,RECLAMATION,KAOLACK,-0.085,NEGATIF,AUTRE,2026-05-27
POST_91d86e462a,TER,ter dafa rafet,WO,TWITTER,THIES,0.907,POSITIF,POSITIF,2026-05-17
POST_0eb188ff2e,FREE_MONEY,free money simple pratique pour les petites sommes,FR,FACEBOOK,SAINT_LOUIS,0.695,POSITIF,POSITIF,2026-05-30
POST_51dbb287e0,SENELEC,coupure senelec depuis quand que revient,FR,FACEBOOK,SAINT_LOUIS,-0.098,NEGATIF,AUTRE,2026-05-10
POST_ae5a74b1cd,FREE_MONEY,free money lent par rapport améliorer,FR,FACEBOOK,ZIGUINCHOR,-0.481,NEGATIF,TECHNIQUE,2026-05-02
POST_70f549c666,SENELEC,senelec délestage tous les ras bol,FR,WHATSAPP,KAOLACK,-0.699,NEGATIF_FORT,AUTRE,2026-05-15
POST_abbbeba9ba,TER,ter pratique rapide entre dakar top,FR,FACEBOOK,SAINT_LOUIS,0.656,POSITIF,POSITIF,2026-05-29
POST_3dfaabb18a,ORANGE_MONEY,service orange money efficace pour les paiements factures,FR,TWITTER,THIES,0.822,POSITIF,POSITIF,2026-05-19
POST_f0d0743151,TER,application ter bug impossible ticket,FR,TWITTER,KAOLACK,-0.595,NEGATIF_FORT,TECHNIQUE,2026-05-05
POST_16f6d4b0f6,ORANGE_MONEY,orange money cher dafa neka,WO,FACEBOOK,ZIGUINCHOR,-0.782,NEGATIF_FORT,TARIF,2026-05-05
POST_ff74c6d7d6,ORANGE_MONEY,orange money cher dafa neka,WO,RECLAMATION,SAINT_LOUIS,-0.708,NEGATIF_FORT,TARIF,2026-05-09
POST_fbcfb06147,SENELEC,application senelec bien paiement facile maintenant,FR,TWITTER,ZIGUINCHOR,0.68,POSITIF,POSITIF,2026-05-24
POST_c108439797,TER,ter bondé aux heures prévoir extension nécessaire,FR,FACEBOOK,KAOLACK,0.065,NEUTRE,AUTRE,2026-05-22
POST_d7164a1069,FREE_MONEY,compte free money bloqué sans explication support,FR,RECLAMATION,SAINT_LOUIS,-0.76,NEGATIF_FORT,TECHNIQUE,2026-05-20
POST_0a9950bf06,SEN_EAU,est revenue après sen eau enfin réactif,FR,TWITTER,DAKAR,-0.066,NEGATIF,AUTRE,2026-05-30
POST_30b6aaf4b1,SENELEC,application senelec bien paiement facile maintenant,FR,TWITTER,ZIGUINCHOR,0.662,POSITIF,POSITIF,2026-05-09
POST_80025a37f7,ORANGE_MONEY,service orange money efficace pour les paiements factures,FR,FACEBOOK,KAOLACK,0.759,POSITIF,POSITIF,2026-05-08
POST_cbf02461db,ORANGE_MONEY,orange money encore panne inacceptable,FR,TWITTER,SAINT_LOUIS,-0.816,NEGATIF_FORT,TECHNIQUE,2026-05-10
POST_ff2179d836,SEN_EAU,pas depuis jours sen eau répond pas,FR,RECLAMATION,THIES,0.085,NEUTRE,AUTRE,2026-05-22
POST_6e030f6d83,SENELEC,coupure électrique pendant senelec scandaleux,FR,WHATSAPP,KAOLACK,-0.781,NEGATIF_FORT,AUTRE,2026-05-21
POST_a748bc540f,SENELEC,coupure senelec depuis quand que revient,FR,WHATSAPP,THIES,-0.007,NEGATIF,AUTRE,2026-05-08
POST_57ca0bd808,SENELEC,senelec délestage tous les ras bol,FR,FACEBOOK,KAOLACK,-0.806,NEGATIF_FORT,AUTRE,2026-05-20
POST_5fdc6d50cb,SENELEC,coupure senelec depuis quand que revient,FR,WHATSAPP,ZIGUINCHOR,-0.012,NEGATIF,AUTRE,2026-05-04
POST_5f17062790,FREE_MONEY,free money simple pratique pour les petites sommes,FR,FACEBOOK,KAOLACK,0.725,POSITIF,POSITIF,2026-05-15
POST_64c51d4789,SEN_EAU,sen eau pression faible depuis une scandaleux,FR,FACEBOOK,THIES,-0.898,NEGATIF_FORT,AUTRE,2026-05-01
POST_ec85599e8a,WAVE,wave excellent recommande tous,FR,WHATSAPP,KAOLACK,0.133,NEUTRE,TECHNIQUE,2026-05-18
POST_2edbc13071,SEN_EAU,facture sen eau anormalement élevée,FR,TWITTER,THIES,0.01,NEUTRE,AUTRE,2026-05-01
POST_fcaedcc2d8,SENELEC,senelec problem dafa metti,WO,TWITTER,SAINT_LOUIS,-0.727,NEGATIF_FORT,AUTRE,2026-05-20
POST_e2de664aa4,WAVE,wave excellent recommande tous,FR,WHATSAPP,KAOLACK,0.255,NEUTRE,TECHNIQUE,2026-05-08
POST_9bfff0fc8a,SEN_EAU,est revenue après sen eau enfin réactif,FR,RECLAMATION,DAKAR,-0.059,NEGATIF,AUTRE,2026-05-11
POST_bd0b9442e2,SEN_EAU,sen eau problem dafa neka,WO,WHATSAPP,THIES,-0.789,NEGATIF_FORT,AUTRE,2026-05-09
POST_52cb806e49,ORANGE_MONEY,orange money fraud lost money this morning,EN,WHATSAPP,KAOLACK,-0.916,NEGATIF_FORT,FRAUDE,2026-05-06
POST_0cb1b21568,TER,ter ponctuel voyage confortable,FR,RECLAMATION,DAKAR,0.058,NEUTRE,AUTRE,2026-05-09
POST_be69259724,SEN_EAU,sen eau service client attente interminable,FR,TWITTER,KAOLACK,0.058,NEUTRE,SERVICE_CLIENT,2026-05-01
POST_ee237d4da0,SENELEC,coupure senelec depuis quand que revient,FR,FACEBOOK,THIES,0.006,NEUTRE,AUTRE,2026-05-30
POST_3d9d96d516,SEN_EAU,sen eau service client attente interminable,FR,WHATSAPP,THIES,-0.09,NEGATIF,SERVICE_CLIENT,2026-05-13
POST_c69ff12cf4,SENELEC,application senelec bien paiement facile maintenant,FR,TWITTER,KAOLACK,0.788,POSITIF,POSITIF,2026-05-04
POST_b9ad9b5369,FREE_MONEY,free money problem duma gënn,WO,RECLAMATION,ZIGUINCHOR,-0.535,NEGATIF_FORT,AUTRE,2026-05-30
POST_61a2d2b8e4,FREE_MONEY,compte free money bloqué sans explication support,FR,WHATSAPP,SAINT_LOUIS,-0.743,NEGATIF_FORT,TECHNIQUE,2026-05-25
POST_b889f2e595,SENELEC,senelec délestage tous les ras bol,FR,WHATSAPP,DAKAR,-0.683,NEGATIF_FORT,AUTRE,2026-05-30
POST_abce499a48,TER,application ter bug impossible ticket,FR,TWITTER,THIES,-0.553,NEGATIF_FORT,TECHNIQUE,2026-05-03
POST_e34902343a,SENELEC,facture senelec frais anormaux mois,FR,WHATSAPP,DAKAR,0.069,NEUTRE,TARIF,2026-05-06
POST_97145d3ae2,FREE_MONEY,free money simple pratique pour les petites sommes,FR,FACEBOOK,KAOLACK,0.655,POSITIF,POSITIF,2026-05-24
POST_7cad673bfc,SENELEC,senelec délestage tous les ras bol,FR,FACEBOOK,KAOLACK,-0.727,NEGATIF_FORT,AUTRE,2026-05-09
POST_3c562df66d,FREE_MONEY,free money lent par rapport améliorer,FR,WHATSAPP,KAOLACK,-0.563,NEGATIF_FORT,TECHNIQUE,2026-05-25
POST_6b151caa68,TER,ter pratique rapide entre dakar top,FR,WHATSAPP,ZIGUINCHOR,0.794,POSITIF,POSITIF,2026-05-07
POST_85bd385982,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,WHATSAPP,ZIGUINCHOR,-0.59,NEGATIF_FORT,SERVICE_CLIENT,2026-05-20
POST_dda2a1e598,ORANGE_MONEY,orange money cher dafa neka,WO,RECLAMATION,KAOLACK,-0.656,NEGATIF_FORT,TARIF,2026-05-21
POST_4b644c778e,TER,ter dafa rafet,WO,WHATSAPP,THIES,0.914,POSITIF,POSITIF,2026-05-07
POST_35d442aa92,ORANGE_MONEY,service orange money efficace pour les paiements factures,FR,WHATSAPP,ZIGUINCHOR,0.728,POSITIF,POSITIF,2026-05-17
POST_9fcd6ca1f3,FREE_MONEY,free money problem duma gënn,WO,WHATSAPP,DAKAR,-0.512,NEGATIF_FORT,AUTRE,2026-05-12
POST_eedf88aba6,ORANGE_MONEY,orange money compte bloqué sans scandaleux,FR,WHATSAPP,ZIGUINCHOR,-0.684,NEGATIF_FORT,TECHNIQUE,2026-05-03
POST_acc818cba7,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,FACEBOOK,THIES,-0.702,NEGATIF_FORT,SERVICE_CLIENT,2026-05-25
POST_fa6433b910,ORANGE_MONEY,orange money encore panne inacceptable,FR,TWITTER,DAKAR,-0.895,NEGATIF_FORT,TECHNIQUE,2026-05-19
POST_c36c04a39b,FREE_MONEY,compte free money bloqué sans explication support,FR,TWITTER,ZIGUINCHOR,-0.601,NEGATIF_FORT,TECHNIQUE,2026-05-01
POST_459bc01b45,TER,ter ponctuel voyage confortable,FR,FACEBOOK,ZIGUINCHOR,-0.027,NEGATIF,AUTRE,2026-05-22
POST_6c2d9007c6,ORANGE_MONEY,les frais cachés orange,FR,RECLAMATION,SAINT_LOUIS,-0.985,NEGATIF_FORT,TARIF,2026-05-28
POST_dc32715218,WAVE,wave excellent recommande tous,FR,FACEBOOK,SAINT_LOUIS,0.102,NEUTRE,TECHNIQUE,2026-05-25
POST_6ad591f5eb,TER,ter ponctuel voyage confortable,FR,FACEBOOK,KAOLACK,-0.044,NEGATIF,AUTRE,2026-05-19
